hospitalID,password,role
P1009,5a0Plsl8UEBzxUkS0faLVpI8rtxL0RwahqVVIRbeaiQ=,PATIENT
P1007,azPr8Nf7WVf1eJdqCoOljqCyf+mc4UzVJ06Pt0y1I4A=,PATIENT
P1008,ytCHxbvFJN6MJA+q5ajNQcPRyWPeGVxrCFFJkd7wkko=,PATIENT
P1005,gqUnvwHNOXV9NQguXxDK7NAEZdRDri/qbu5oZh1nMHg=,PATIENT
P1006,lp+UmeWMY+69m2iMqLw1TceI5H2Binp+/U1h3doiRwc=,PATIENT
P1003,1tkEliGlM3YsatAP6VhcQtjXo0ZHsY5Vz8yLADsMuEk=,PATIENT
P1014,vEUg7OajFOVXRskKQOv4SK/K2/fwje55VEM2ISVA5pM=,PATIENT
P1004,NQuBNXwjId/PbX3CAgZdk7jMEpt+l2tpDdhgSiYUqKw=,PATIENT
P1015,tUchr7Njb3WotSTGhoPwfBvmQLTwfvlLlz59lPU/wEk=,PATIENT
P1001,09eyMvAw9cHDy9vNr4dmMFSbvX7eZ1pfsPi4hoW0HeQ=,PATIENT
A001,o/pR8KNZqBaTF89vPecH0hreZVfuACcu0xuCumdhssE=,ADMINISTRATOR
P1012,479NMhn+Vwf/Ej0x+eVPMoPI43Y3tvRhOGyo8BY96hI=,PATIENT
P1002,Nd0W1Yi9SOLUQQGZ/a47Xe1uoRCCPF+3YUuiZ1BqErw=,PATIENT
P1013,beTkNl2IWN8ri0dCPALgowtHQHRhMus0W5nuo+s9GYQ=,PATIENT
P1010,o3sK/jzsxcHTYU3Z612Ly6fjQf7oCLerSD2H4tYloko=,PATIENT
D002,qLRmpd3us3lVbzAkPTvLc3fMYhhgw+ypX7GMI96f79k=,DOCTOR
PH001,jt81P7mHnzq8XsXj/38mSkLPalF9ALmAv7Ao2MoKCn0=,PHARMACIST
P1011,c+f9rdQW5dV+P0DZOK1zwWtUNXt06pkeW67Nl4594Gk=,PATIENT
D001,Xwqcf2JK/Hl5jmbX/oDC8LhVU+LWY/ur1F1MR2ReebA=,DOCTOR
